序号  	价格      	名字    
   1	9981    	华为 MATE RS保时捷版
   2	1999    	OPPO A3
   3	4368    	华为 P20 Pro
   4	3788    	华为 P20
   5	2692    	OPPO R15
   6	3298    	OPPO R15梦镜版
   7	1637    	小米 6X 
   8	2002    	华为 NOVA 3e 
   9	2856    	vivo X21
  10	4890    	三星 Galaxy S9+ 
  11	3335    	小米 MIX 2S
  12	2699    	荣耀 荣耀10
  13	1064    	OPPO A1
  14	2999    	小米 黑鲨游戏手机
  15	1594    	vivo Y85
  16	1039    	小米 红米Note 5
  17	799     	荣耀 畅玩7A
  18	1398    	vivo Y71
  19	899     	荣耀 畅玩7C
  20	1699    	华为 畅享8 Plus
  21	4905    	三星 Galaxy S9
  22	999     	vivo Y69
  23	1267    	华为 畅享8
  24	1699    	魅族 M15
  25	1699    	魅族 15 Plus
  26	1834    	魅族 魅蓝 E3
  27	1699    	魅族 15 
  28	6778    	苹果 iPhone X
  29	4654    	苹果 iPhone 8
  30	1328    	锤子 坚果 3
  31	5115    	苹果 iPhone 8 Plus 
  32	2495    	荣耀 V10
  33	2938    	vivo X21屏幕指纹版
  34	821     	小米 红米5 Plus
  35	1602    	小米 Note3
  36	1098    	荣耀 荣耀9青春版
  37	3271    	华为 Mate 10 
  38	2184    	华为 NOVA 2S
  39	2085    	小米 小米手机6
  40	1923    	荣耀 荣耀9
  41	1248    	荣耀 畅玩7X 
  42	2752    	小米 MIX2
  43	3766    	华为 Mate 10 Pro  
  44	1023    	小米 5X 
  45	550     	小米 红米5A 
  46	2862    	一加手机5T
  47	1092    	360手机 N6 Pro
  48	728     	华为 畅享7 
  49	3011    	三星 Galaxy S8+
  50	744     	魅族 魅蓝note6
  51	1160    	小米 Max2
  52	603     	魅族 魅蓝6
  53	2132    	华为 P10
  54	1999    	努比亚 Z18 mini 
  55	2999    	努比亚 红魔游戏手机
  56	956     	魅族 魅蓝S6
  57	1753    	锤子 坚果Pro 2 
  58	1358    	努比亚 V18
  59	2461    	华为 P10 Plus
  60	1072    	OPPO A57
  61	2923    	三星 Galaxy S8
  62	569     	小米 红米Note 5A
  63	883     	荣耀 V9 PLAY
  64	3949    	三星 Galaxy Note8
  65	2547    	vivo X20
  66	3277    	美图 T8s
  67	1140    	华为 畅享7S
  68	715     	小米 红米5
  69	1799    	OPPO A79
  70	909     	360手机 N6
  71	1671    	魅族 PRO7
  72	772     	小米 红米Note 4X
  73	2528    	OPPO R11s
  74	674     	魅族 魅蓝note5
  75	2065    	诺基亚 7 PLUS
  76	2320    	努比亚 Z17
  77	693     	纽曼 NX1
  78	4067    	索尼 Xperia XZ2
  79	565     	荣耀 畅玩6
  80	1603    	华为 麦芒6
  81	1099    	华为 畅享8e
  82	1275    	OPPO A83
  83	723     	360手机 N6 Lite
  84	5642    	美图 V6 
  85	3657    	索尼 Xperia XZ Premium
  86	2859    	OPPO R11s Plus
  87	1383    	vivo Y75
  88	2128    	魅族 PRO7 Plus
  89	2441    	美图 M8S
  90	979     	华为 畅享7 Plus
  91	1491    	OPPO A73
  92	1450    	锤子 坚果Pro
  93	1035    	荣耀 荣耀8青春版
  94	2941    	华为 Mate 9 Pro
  95	149     	诺基亚 新105
  96	1160    	华为 NOVA 青春版
  97	736     	华为 畅享6S
  98	1099    	努比亚 Z17 mini
  99	2789    	美图 T8 
 100	1170    	诺基亚 诺基亚 6 第二代
 101	1448    	华为 NOVA 2
 102	2243    	美图 M8 
 103	488     	迪美 R11
 104	2009    	vivo X9s Plus
 105	773     	魅族 魅蓝E2
 106	2850    	索尼 Xperia XZ1
 107	4386    	苹果 iPhone 7 Plus
 108	1814    	vivo X9s
 109	3639    	苹果 iPhone 7
 110	179     	纽曼 F9 
 111	2998    	vivo X20Plus
 112	1582    	OPPO R9s Plus 
 113	1538    	三星 Galaxy C8
 114	121     	创星 S1 
 115	1422    	苹果 iPhone SE
 116	528     	小米 红米4A
 117	163     	波导 A520
 118	1800    	vivo X9Plus
 119	1499    	国美 S7 
 120	587     	魅族 魅蓝5s
 121	13239   	三星 SM-W2018
 122	388     	索野 7S 
 123	1791    	vivo Y79
 124	2999    	努比亚 Z17S
 125	3507    	HTC U11
 126	163     	纽曼 L660
 127	2392    	三星 SM-G9298
 128	648     	小米 红米4X
 129	1023    	vivo Y66
 130	1521    	努比亚 Z17miniS
 131	898     	米蓝 MAX3
 132	493     	天语 X11
 133	2307    	华为 Mate 9
 134	186     	创星 R9 
 135	1988    	荣耀 V9 
 136	1403    	LG G6 
 137	3880    	云创通 YCT11
 138	1299    	诺基亚 诺基亚7 
 139	408     	唯米 7S 
 140	1733    	华为 NOVA 2 PLUS
 141	1458    	三星 Galaxy S7 edge
 142	967     	联想 S5 
 143	1362    	魅族 PRO 6 Plus
 144	667     	荣耀 畅玩6A
 145	8711    	三星 SM-W2017
 146	2408    	小米 MIX
 147	182     	誉品 N2 
 148	999     	小辣椒 红辣椒7X 
 149	98      	纽曼 M560
 150	1399    	锤子 坚果手机
 151	1129    	魅族 PRO 6S
 152	159     	优思 US9
 153	2599    	BDV M8
 154	1799    	努比亚 N3
 155	675     	华为 畅享6
 156	1252    	OPPO R9 Plus
 157	1145    	华为 MATE8
 158	1648    	小米 Note 2
 159	335     	360手机 F5
 160	1719    	OPPO R9S
 161	99      	创星 C1 
 162	413     	魅族 魅蓝note3
 163	197     	创星 R11
 164	72      	尼凯恩 EN8
 165	1030    	OPPO A59S
 166	131     	天语 L580
 167	897     	欧加 S11 Plus
 168	1023    	美图 M6 
 169	2151    	三星 Galaxy C9 Pro
 170	1259    	vivo X7Plus
 171	1063    	vivo Y66i
 172	395     	小辣椒 红辣椒任性版Plus
 173	1112    	360手机 N5
 174	119     	创星 3310
 175	394     	酷派 8737
 176	286     	索爱 SA-Z8
 177	77      	纽曼 V1 
 178	2216    	HTC U Ultra
 179	2438    	索尼 Xperia XA2 Ultra
 180	1249    	OPPO A77 
 181	966     	小米 小米手机5
 182	322     	魅族 魅蓝note2
 183	813     	小米 红米Note 4
 184	596     	LG G5 
 185	848     	vivo Y55
 186	505     	创星 X20
 187	71      	创星 V3 
 188	3708    	征服 S8 
 189	1367    	三星 Galaxy S6 Edge
 190	1834    	荣耀 NOTE8
 191	1265    	OPPO R9
 192	1063    	荣耀 V8 
 193	299     	飞利浦 E135X
 194	2100    	摩托罗拉 Z2 PLAY
 195	1549    	金立 大金钢2
 196	498     	欧博信 OX Plus
 197	1799    	金立 S11
 198	699     	创星 X5 
 199	196     	纽曼 F518
 200	293     	酷派 5267
 201	2402    	OPPO R11 Plus
 202	1694    	索尼 Xperia XZs
 203	1311    	酷派 Cool S1
 204	859     	魅族 MX6
 205	1066    	vivo X7
 206	1577    	三星 Galaxy Folder 2
 207	437     	天语 4A 
 208	3708    	中兴 天机Axon M
 209	7507    	华为 Mate 10保时捷版
 210	5424    	金立 M2017
 211	497     	誉品 NOTE 1
 212	160     	创星 V6 
 213	385     	小米 红米Note 3
 214	95      	纽曼 A520
 215	188     	长虹 L3 
 216	261     	波导 A9 
 217	156     	酷派 S588
 218	313     	MELROSE S9P
 219	2680    	优尚丰 B6000
 220	15499   	8848 钛金手机M3
 221	187     	纽曼 C9 
 222	205     	中兴 L660
 223	99      	纽曼 X6 
 224	2647    	vivo X20Plus屏幕指纹版
 225	106     	天语 T2 
 226	715     	酷派  Cool1
 227	3191    	金立 W909
 228	503     	维图 GT13
 229	97      	中天语 Z18
 230	102     	NEWMIND F15
 231	73      	中天语 T668
 232	823     	欧加 S11
 233	3399    	雪豹 P10
 234	716     	中兴 Blade A3
 235	1598    	小米 5s Plus
 236	301     	小米 小米手机4
 237	70      	NEWMIND F8
 238	3739    	AGM X2
 239	104     	创星 F1 
 240	73      	纽曼 L8 
 241	263     	诺基亚 216 DS
 242	499     	酷派 8739
 243	841     	奥乐迪奥  m2018
 244	285     	索爱 SA-Z86
 245	125     	波导 A550
 246	368     	诺基亚 3310
